,C50,KD1,KD2,cod,gamma,k_dissD,muD
0,6.648491059709168e-08,1e-08,1e-08,0.9999936491257774,7.151023712045311,1.0,1.0
1,8.087211785040019e-08,1e-08,1.4873521072935114e-08,0.9999939536487206,7.134918032657996,1.0,0.6723357536499337
2,9.785208728179406e-08,1e-08,2.2122162910704493e-08,0.9999938634204837,7.086519826407968,1.0,0.45203536563602426
3,1.177361514839221e-07,1e-08,3.290344562312669e-08,0.9999934129052698,7.005642418867987,1.0,0.3039195382313197
4,1.4080043254699804e-07,1e-08,4.893900918477494e-08,0.9999925978219182,6.892166486149882,1.0,0.20433597178569415
5,1.672434744904361e-07,1e-08,7.278953843983152e-08,0.999991394299911,6.746332603860937,1.0,0.13738237958832628
6,1.971295505973106e-07,1e-08,1.0826367338740546e-07,0.9999897815538822,6.569150807028912,1.0,0.09236708571873861
7,2.3031963208864886e-07,1e-08,1.6102620275609392e-07,0.999987775407529,6.36290096375702,1.0,0.06210169418915616
8,2.6639822081295195e-07,1e-08,2.3950266199874863e-07,0.9999854759885579,6.1316575020981805,1.0,0.041753189365604
9,3.0461367787008974e-07,1e-08,3.562247890262444e-07,0.999983121257508,5.881700151503357,1.0,0.028072162039411756
10,3.4386033211079037e-07,1e-08,5.29831690628371e-07,0.9999811153176867,5.621607718312743,1.0,0.018873918221350965
11,3.827358899641256e-07,1e-08,7.880462815669912e-07,0.9999799772192822,5.361809382090513,1.0,0.012689610031679222
12,4.1969636868175203e-07,1e-08,1.1721022975334806e-06,0.9999801690886669,5.113469837121721,1.0,0.008531678524172805
13,4.5329480681901243e-07,1e-08,1.7433288221999892e-06,0.9999818507518178,4.8868523993112225,1.0,0.005736152510448675
14,4.824389111024222e-07,1e-08,2.592943797404667e-06,0.9999847273682613,4.68962998626307,1.0,0.003856620421163472
15,5.065716972561486e-07,1e-08,3.856620421163472e-06,0.9999881502669963,4.525766741957215,1.0,0.002592943797404667
16,5.25703641500579e-07,1e-08,5.736152510448682e-06,0.9999914273350154,4.395382149119285,1.0,0.001743328822199987
17,5.402978108343416e-07,1e-08,8.531678524172814e-06,0.9999941067812244,4.2955418082707295,1.0,0.0011721022975334794
18,5.510768265163205e-07,1e-08,1.2689610031679234e-05,0.9999960550620642,4.221529170478672,1.0,0.0007880462815669905
19,5.5883563576802e-07,1e-08,1.8873918221350978e-05,0.9999973588701003,4.1680794608661955,1.0,0.0005298316906283707
20,5.64311571277653e-07,1e-08,2.8072162039411787e-05,0.9999981866325689,4.130253615354543,1.0,0.000356224789026244
21,5.681204865978201e-07,1e-08,4.175318936560405e-05,0.9999986981294733,4.10388692516195,1.0,0.00023950266199874835
22,5.707422691893491e-07,1e-08,6.210169418915616e-05,0.9999990118602166,4.085709020329449,1.0,0.00016102620275609394
23,5.725336372199367e-07,1e-08,9.236708571873866e-05,0.999999205384244,4.073274362000096,1.0,0.00010826367338740541
24,5.73751346346335e-07,1e-08,0.0001373823795883264,0.9999993262799418,4.064814784597407,1.0,7.278953843983146e-05
25,5.745761844180691e-07,1e-08,0.00020433597178569438,0.9999994029378574,4.059081255334267,1.0,4.893900918477489e-05
26,5.751335581071651e-07,1e-08,0.0003039195382313201,0.9999994522370634,4.055205370323999,1.0,3.290344562312664e-05
27,5.755095794578359e-07,1e-08,0.00045203536563602503,0.9999994843217681,4.052589875564401,1.0,2.2122162910704457e-05
28,5.75762973595552e-07,1e-08,0.0006723357536499335,0.9999995053987646,4.050827017090792,1.0,1.4873521072935119e-05
29,5.759336034351721e-07,1e-08,0.001,0.9999995193412546,4.0496398008933365,1.0,1e-05
