,C50,KD1,KD2,cod,gamma,k_dissD,muD
0,3.784438320980372e-09,1e-08,1e-08,0.9987956183326197,1.1567156431111822,1.0,1.0
1,4.00589294100111e-09,1e-08,1.1233240329780275e-08,0.998797609891773,1.1559692087632565,1.0,0.8902150854450386
2,4.230460296297733e-09,1e-08,1.2618568830660204e-08,0.9988018576851344,1.1545877954810753,1.0,0.7924828983539174
3,4.457273445287533e-09,1e-08,1.4174741629268054e-08,0.9988083274556153,1.1525601937770102,1.0,0.7054802310718643
4,4.685460851065323e-09,1e-08,1.5922827933410923e-08,0.9988171982843197,1.1499248620626716,1.0,0.6280291441834253
5,4.914091905625743e-09,1e-08,1.788649529057435e-08,0.9988282106107229,1.1466942436930476,1.0,0.5590810182512224
6,5.142259805138941e-09,1e-08,2.0092330025650475e-08,0.9988415104828405,1.142920012843565,1.0,0.497702356433211
7,5.3689093897106425e-09,1e-08,2.2570197196339203e-08,0.9988570335581091,1.1386181924230019,1.0,0.44306214575838804
8,5.593316053285872e-09,1e-08,2.535364493970112e-08,0.9988749668224861,1.1338693113022584,1.0,0.39442060594376555
9,5.8145279866287896e-09,1e-08,2.8480358684358016e-08,0.9988952835576169,1.1287129509003173,1.0,0.35111917342151316
10,6.0316922798499235e-09,1e-08,3.199267137797384e-08,0.9989177702731464,1.1231982401862148,1.0,0.3125715849688236
11,6.244086927521162e-09,1e-08,3.593813663804628e-08,0.9989424831711126,1.1173827002019676,1.0,0.2782559402207124
12,6.450955372202459e-09,1e-08,4.0370172585965546e-08,0.9989694603689341,1.111327449079134,1.0,0.24770763559917108
13,6.651708826677932e-09,1e-08,4.534878508128582e-08,0.9989983953360942,1.1050926113025874,1.0,0.22051307399030456
14,6.845785070757619e-09,1e-08,5.094138014816379e-08,0.999029283677562,1.0987467666710902,1.0,0.19630406500402708
15,7.0326599148585154e-09,1e-08,5.7223676593502175e-08,0.9990618287186595,1.0923170815813499,1.0,0.17475284000076838
16,7.211867774756775e-09,1e-08,6.428073117284321e-08,0.9990957204975452,1.085858417531802,1.0,0.1555676143930472
17,7.383182493305516e-09,1e-08,7.220809018385464e-08,0.999130972900379,1.079425309447435,1.0,0.1384886371393873
18,7.546411469651232e-09,1e-08,8.11130830789687e-08,0.9991671343525016,1.0730654661501648,1.0,0.12328467394420663
19,7.701352816883278e-09,1e-08,9.111627561154892e-08,0.9992040065826506,1.0668070608667275,1.0,0.10974987654930562
20,7.847871718975e-09,1e-08,1.0235310218990263e-07,0.9992413319142701,1.0606857030869377,1.0,0.09770099572992252
21,7.986049351097334e-09,1e-08,1.1497569953977356e-07,0.9992785977239412,1.0547184051115672,1.0,0.08697490026177834
22,8.11597823143263e-09,1e-08,1.291549665014884e-07,0.9993157775662567,1.0489506555724935,1.0,0.0774263682681127
23,8.23763533211784e-09,1e-08,1.4508287784959396e-07,0.9993525349690039,1.0433822393965964,1.0,0.06892612104349698
24,8.351447735990875e-09,1e-08,1.629750834620644e-07,0.9993884220952644,1.0380384361324335,1.0,0.061359072734131735
25,8.457437134763765e-09,1e-08,1.830738280295368e-07,0.9994234960790019,1.0329344732971397,1.0,0.05462277217684342
26,8.555891335249659e-09,1e-08,2.0565123083486517e-07,0.999457469666,1.028076143238959,1.0,0.04862601580065353
27,8.647153099760682e-09,1e-08,2.3101297000831593e-07,0.9994901580362661,1.0234595116002403,1.0,0.04328761281083059
28,8.731491480666862e-09,1e-08,2.595024211399736e-07,0.9995213497634895,1.019088231771518,1.0,0.0385352859371053
29,8.809293788719565e-09,1e-08,2.915053062825176e-07,0.9995510016742288,1.0149711942909174,1.0,0.03430469286314919
30,8.880961741784072e-09,1e-08,3.274549162877728e-07,0.9995790515840678,1.0111099480601604,1.0,0.030538555088334158
31,8.946668619448943e-09,1e-08,3.6783797718286325e-07,0.9996053984913414,1.0074834219359952,1.0,0.027185882427329413
32,9.006973930417449e-09,1e-08,4.132012400115337e-07,0.9996299359582003,1.0040906969132937,1.0,0.02420128264794382
33,9.062137379271472e-09,1e-08,4.64158883361278e-07,0.9996528436349883,1.000935968637778,1.0,0.021544346900318832
34,9.112497625952524e-09,1e-08,5.214008287999684e-07,0.9996739320921375,0.9979922066210013,1.0,0.01917910261672489
35,9.15826793561419e-09,1e-08,5.857020818056667e-07,0.9996934482640352,0.9952622854054087,1.0,0.017073526474706904
36,9.200035142794484e-09,1e-08,6.579332246575679e-07,0.9997112080679835,0.9927371514129276,1.0,0.01519911082952934
37,9.237989362580314e-09,1e-08,7.390722033525779e-07,0.9997273741041527,0.9903993027598371,1.0,0.013530477745798068
38,9.27241699566617e-09,1e-08,8.302175681319744e-07,0.9997420526433449,0.9882463917136652,1.0,0.012045035402587823
39,9.303569191502944e-09,1e-08,9.326033468832199e-07,0.9997553093964978,0.9862606452637912,1.0,0.010722672220103232
40,9.331800891384872e-09,1e-08,1.0476157527896652e-06,0.9997672326867394,0.9844383635872277,1.0,0.009545484566618337
41,9.357343954131844e-09,1e-08,1.1768119524349978e-06,0.9997778078513944,0.9827636857477386,1.0,0.008497534359086447
42,9.380343220043209e-09,1e-08,1.3219411484660288e-06,0.9997873060305754,0.9812345807748605,1.0,0.00756463327554629
43,9.401086732110055e-09,1e-08,1.4849682622544653e-06,0.9997956449279644,0.9798283395060152,1.0,0.00673415065775082
44,9.41979166628212e-09,1e-08,1.6681005372000593e-06,0.9998029980448505,0.978547901669109,1.0,0.005994842503189408
45,9.436689929743308e-09,1e-08,1.873817422860383e-06,0.9998093875521745,0.9773776077418211,1.0,0.005336699231206312
46,9.451858268037022e-09,1e-08,2.1049041445120197e-06,0.9998149943889857,0.9763115530024206,1.0,0.0047508101621027985
47,9.465388702477018e-09,1e-08,2.364489412645407e-06,0.9998197983513308,0.9753380168672257,1.0,0.004229242874389499
48,9.47768929861005e-09,1e-08,2.656087782946687e-06,0.9998239129311475,0.9744596468585442,1.0,0.003764935806792467
49,9.488607465862761e-09,1e-08,2.98364724028334e-06,0.999827380112906,0.9736517121622544,1.0,0.003351602650938841
50,9.498596152144056e-09,1e-08,3.351602650938841e-06,0.9998303367428479,0.9729368271971531,1.0,0.0029836472402833404
51,9.507343628714515e-09,1e-08,3.7649358067924677e-06,0.9998327905248806,0.9722714892130724,1.0,0.0026560877829466863
52,9.515197843468632e-09,1e-08,4.229242874389499e-06,0.9998347812170039,0.9716719205058871,1.0,0.002364489412645407
53,9.522337883031638e-09,1e-08,4.750810162102798e-06,0.9998363375548522,0.9711320937452257,1.0,0.00210490414451202
54,9.52867266690954e-09,1e-08,5.336699231206308e-06,0.9998376463711529,0.9706486253779157,1.0,0.0018738174228603848
55,9.534344926977062e-09,1e-08,5.994842503189409e-06,0.9998386042866615,0.9702032369177579,1.0,0.0016681005372000592
56,9.53941337972603e-09,1e-08,6.734150657750821e-06,0.9998392624554908,0.969808765337756,1.0,0.0014849682622544652
57,9.543965397719734e-09,1e-08,7.564633275546291e-06,0.9998397650775803,0.969451257435141,1.0,0.0013219411484660288
58,9.548023295235903e-09,1e-08,8.497534359086439e-06,0.9998400458559297,0.9691260850975824,1.0,0.001176811952434999
59,9.551693369567838e-09,1e-08,9.545484566618338e-06,0.9998401521664727,0.9688380880571363,1.0,0.001047615752789665
60,9.554887659786442e-09,1e-08,1.0722672220103232e-05,0.9998400852018722,0.9685722361392567,1.0,0.0009326033468832199
61,9.557779221817092e-09,1e-08,1.2045035402587824e-05,0.9998400428548173,0.9683376648202238,1.0,0.0008302175681319744
62,9.560396608361826e-09,1e-08,1.3530477745798062e-05,0.9998398248132048,0.9681297417286199,1.0,0.0007390722033525783
63,9.562650080518218e-09,1e-08,1.5199110829529332e-05,0.9998395679062274,0.9679329397581824,1.0,0.0006579332246575682
