,C50,KD1,KD2,cod,gamma,k_dissD,muD
0,4.222072852488337e-07,1e-08,1e-08,0.9999962726684215,14.419276243673037,1.0,1.0
1,4.47231134803741e-07,1e-08,1.1233240329780275e-08,0.9999968701688321,14.403864868244648,1.0,0.8902150854450386
2,4.7340280279129663e-07,1e-08,1.2618568830660204e-08,0.9999971912382446,14.350700057688641,1.0,0.7924828983539174
3,5.005245325303866e-07,1e-08,1.4174741629268054e-08,0.9999975260314579,14.305107998910477,1.0,0.7054802310718643
4,5.289963721389259e-07,1e-08,1.5922827933410923e-08,0.9999974276655093,14.236307199693965,1.0,0.6280291441834253
5,5.585397978100351e-07,1e-08,1.788649529057435e-08,0.9999970428838952,14.170549694131777,1.0,0.5590810182512224
6,5.893717591990438e-07,1e-08,2.0092330025650475e-08,0.9999956184890257,14.124510435139936,1.0,0.497702356433211
7,6.212021572785066e-07,1e-08,2.2570197196339203e-08,0.999994269290994,13.961668852114556,1.0,0.44306214575838804
8,6.538766489670155e-07,1e-08,2.535364493970112e-08,0.9999936226962215,13.775172413760188,1.0,0.39442060594376555
9,6.876804551942361e-07,1e-08,2.8480358684358016e-08,0.999993543946512,13.52540429401993,1.0,0.35111917342151316
10,7.217136280001907e-07,1e-08,3.199267137797384e-08,0.999992763375973,13.358893318410843,1.0,0.3125715849688236
11,7.56592527462329e-07,1e-08,3.593813663804628e-08,0.9999908460421874,13.107869758817744,1.0,0.2782559402207124
12,7.917494039017205e-07,1e-08,4.0370172585965546e-08,0.9999900649534863,12.830905416107543,1.0,0.24770763559917108
13,8.266269354389505e-07,1e-08,4.534878508128582e-08,0.9999874133223396,12.47414598113538,1.0,0.22051307399030456
14,8.614884703427446e-07,1e-08,5.094138014816379e-08,0.999983422074478,12.107061112155142,1.0,0.19630406500402708
15,8.94700594429442e-07,1e-08,5.7223676593502175e-08,0.999980211679933,11.664308825212828,1.0,0.17475284000076838
16,9.275270412495002e-07,1e-08,6.428073117284321e-08,0.9999691074906641,11.239213434713134,1.0,0.1555676143930472
17,9.56223175138105e-07,1e-08,7.220809018385464e-08,0.9999567615117166,10.607271062861237,1.0,0.1384886371393873
18,9.811995652030404e-07,1e-08,8.11130830789687e-08,0.9999334833914235,10.003248937963269,1.0,0.12328467394420663
19,1.0006051736936287e-06,1e-08,9.111627561154892e-08,0.9998947324213214,9.285105621239321,1.0,0.10974987654930562
20,1.0114720056158838e-06,1e-08,1.0235310218990263e-07,0.9998239881759118,8.448853713005636,1.0,0.09770099572992252
21,1.0105313609316794e-06,1e-08,1.1497569953977356e-07,0.9996807688335104,7.52455516803009,1.0,0.08697490026177834
22,9.931660233961192e-07,1e-08,1.291549665014884e-07,0.9993945591071647,6.497827822780743,1.0,0.0774263682681127
23,9.50590470282779e-07,1e-08,1.4508287784959396e-07,0.9987970242763473,5.327912472908567,1.0,0.06892612104349698
24,8.701026644062753e-07,1e-08,1.629750834620644e-07,0.9980477528927049,4.1170240206402875,1.0,0.061359072734131735
25,7.509577616596725e-07,1e-08,1.830738280295368e-07,0.9976461432482676,3.136867508718908,1.0,0.05462277217684342
26,6.03922203054786e-07,1e-08,2.0565123083486517e-07,0.9985056633897192,2.5808133741141868,1.0,0.04862601580065353
27,4.6734947549666916e-07,1e-08,2.3101297000831593e-07,0.9993994102517113,2.4494373423085953,1.0,0.04328761281083059
28,3.655680795423239e-07,1e-08,2.595024211399736e-07,0.9994301095512579,2.61917644796356,1.0,0.0385352859371053
29,2.9779854098995714e-07,1e-08,2.915053062825176e-07,0.999423264785306,3.012411663763298,1.0,0.03430469286314919
30,2.544609146922778e-07,1e-08,3.274549162877728e-07,0.9995777366916054,3.4855233298484887,1.0,0.030538555088334158
31,2.257527460798115e-07,1e-08,3.6783797718286325e-07,0.9997594512354878,3.9492726293735463,1.0,0.027185882427329413
32,2.057654735686453e-07,1e-08,4.132012400115337e-07,0.9998767768966761,4.359762067189222,1.0,0.02420128264794382
33,1.9115810473947938e-07,1e-08,4.64158883361278e-07,0.9999374109053234,4.717567169512742,1.0,0.021544346900318832
34,1.8010558925513175e-07,1e-08,5.214008287999684e-07,0.9999713038876702,5.0190733325855685,1.0,0.01917910261672489
35,1.7140215388104395e-07,1e-08,5.857020818056667e-07,0.999988311719227,5.2763157208018665,1.0,0.017073526474706904
36,1.6440748263495294e-07,1e-08,6.579332246575679e-07,0.9999950727002578,5.497088852501753,1.0,0.01519911082952934
37,1.5868805036257107e-07,1e-08,7.390722033525779e-07,0.9999976659459778,5.694155841889399,1.0,0.013530477745798068
